subject,roi_name,region_type,L_index,R_index,L_volume_mm3,R_volume_mm3,side_ai,log_ai
038,Accumbens-area,subcortical,39,46,664.0,712.0,-0.03488372093023256,-0.06979576193554198
038,Amygdala,subcortical,38,45,1520.0,1824.0,-0.09090909090909091,-0.1823215567939546
038,Caudate,subcortical,34,41,3928.0,4072.0,-0.018,-0.036003888756002175
038,Cerebellum-Cortex,cerebellum,32,78,56336.0,58224.0,-0.0164804469273743,-0.03296387845710735
038,Hippocampus,subcortical,37,44,3528.0,3856.0,-0.044420368364030335,-0.08889923860375434
038,Pallidum,subcortical,36,43,2176.0,2208.0,-0.0072992700729927005,-0.014598799421152636
038,Putamen,subcortical,35,42,5272.0,5424.0,-0.014210919970082274,-0.028423753437888357
038,Thalamus-Proper,subcortical,33,40,8480.0,8040.0,0.026634382566585957,0.05328136661293678
038,caudalanteriorcingulate,cortex,1,47,3272.0,2904.0,0.05958549222797927,0.11931232177795092
038,caudalmiddlefrontal,cortex,2,48,5488.0,4376.0,0.11273317112733171,0.22642882530390407
038,cuneus,cortex,3,49,3712.0,3944.0,-0.030303030303030304,-0.060624621816434854
038,entorhinal,cortex,4,50,1704.0,1504.0,0.06234413965087282,0.124850202879476
038,fusiform,cortex,5,51,7592.0,7928.0,-0.021649484536082474,-0.04330573572006009
038,inferiorparietal,cortex,6,52,13672.0,14640.0,-0.034190449279457476,-0.06840756271987576
038,inferiortemporal,cortex,7,53,10144.0,11808.0,-0.07580174927113703,-0.15189487016324657
038,insula,cortex,31,77,5776.0,5936.0,-0.01366120218579235,-0.027324104274554246
038,isthmuscingulate,cortex,8,54,2064.0,2280.0,-0.049723756906077346,-0.09952959534703305
038,lateraloccipital,cortex,9,55,9848.0,9704.0,0.007364975450081833,0.01473021724040341
038,lateralorbitofrontal,cortex,10,56,8264.0,8400.0,-0.00816130580892943,-0.016322974031930518
038,lingual,cortex,11,57,5072.0,5664.0,-0.05514157973174367,-0.11039513925649382
038,medialorbitofrontal,cortex,12,58,5712.0,4704.0,0.0967741935483871,0.1941560144409574
038,middletemporal,cortex,13,59,15912.0,14248.0,0.05517241379310345,0.11045699556431061
038,paracentral,cortex,15,61,4632.0,4144.0,0.05560619872379216,0.11132723531351227
038,parahippocampal,cortex,14,60,2016.0,1952.0,0.016129032258064516,0.03226086221822148
038,parsopercularis,cortex,16,62,3520.0,3544.0,-0.0033975084937712344,-0.0067950431328288015
038,parsorbitalis,cortex,17,63,2392.0,2656.0,-0.05229793977812995,-0.10469139552580213
038,parstriangularis,cortex,18,64,4608.0,4808.0,-0.021240441801189464,-0.0424872738393163
038,pericalcarine,cortex,19,65,1128.0,1536.0,-0.15315315315315314,-0.3087354816496133
038,postcentral,cortex,20,66,11072.0,8448.0,0.13442622950819672,0.27048967191140805
038,posteriorcingulate,cortex,21,67,2544.0,3328.0,-0.1335149863760218,-0.2686338774810865
038,precentral,cortex,22,68,13832.0,12784.0,0.039374812143071834,0.07879035935707042
038,precuneus,cortex,23,69,9352.0,10008.0,-0.033884297520661154,-0.06779454899484273
038,rostralanteriorcingulate,cortex,24,70,3736.0,2128.0,0.2742155525238745,0.5628329488871983
038,rostralmiddlefrontal,cortex,25,71,11624.0,11024.0,0.026492405510420345,0.05299721199667896
038,superiorfrontal,cortex,26,72,23552.0,27264.0,-0.07304785894206549,-0.14635640810043946
038,superiorparietal,cortex,27,73,11248.0,11744.0,-0.021572720946416143,-0.04315213680385069
038,superiortemporal,cortex,28,74,16880.0,14272.0,0.08371854134566,0.1678299133301575
038,supramarginal,cortex,29,75,10944.0,10760.0,0.008477699963140435,0.01695580614655619
038,transversetemporal,cortex,30,76,928.0,952.0,-0.01276595744680851,-0.025533302005164762
