subject,fs_default_index,name,side,region_type,volume_mm3
056,1,L.caudalanteriorcingulate,L,cortex,2744.0
056,2,L.caudalmiddlefrontal,L,cortex,4512.0
056,3,L.cuneus,L,cortex,4168.0
056,4,L.entorhinal,L,cortex,2048.0
056,5,L.fusiform,L,cortex,7312.0
056,6,L.inferiorparietal,L,cortex,14648.0
056,7,L.inferiortemporal,L,cortex,10696.0
056,8,L.isthmuscingulate,L,cortex,2480.0
056,9,L.lateraloccipital,L,cortex,11288.0
056,10,L.lateralorbitofrontal,L,cortex,7248.0
056,11,L.lingual,L,cortex,6520.0
056,12,L.medialorbitofrontal,L,cortex,4904.0
056,13,L.middletemporal,L,cortex,14368.0
056,14,L.parahippocampal,L,cortex,2040.0
056,15,L.paracentral,L,cortex,5032.0
056,16,L.parsopercularis,L,cortex,3616.0
056,17,L.parsorbitalis,L,cortex,2512.0
056,18,L.parstriangularis,L,cortex,4224.0
056,19,L.pericalcarine,L,cortex,1656.0
056,20,L.postcentral,L,cortex,9248.0
056,21,L.posteriorcingulate,L,cortex,3312.0
056,22,L.precentral,L,cortex,12592.0
056,23,L.precuneus,L,cortex,10120.0
056,24,L.rostralanteriorcingulate,L,cortex,2984.0
056,25,L.rostralmiddlefrontal,L,cortex,9664.0
056,26,L.superiorfrontal,L,cortex,15856.0
056,27,L.superiorparietal,L,cortex,9968.0
056,28,L.superiortemporal,L,cortex,18232.0
056,29,L.supramarginal,L,cortex,10632.0
056,30,L.transversetemporal,L,cortex,1184.0
056,31,L.insula,L,cortex,5416.0
056,32,L.Cerebellum-Cortex,L,cerebellum,56328.0
056,33,L.Thalamus-Proper,L,subcortical,7000.0
056,34,L.Caudate,L,subcortical,3304.0
056,35,L.Putamen,L,subcortical,4280.0
056,36,L.Pallidum,L,subcortical,1896.0
056,37,L.Hippocampus,L,subcortical,3936.0
056,38,L.Amygdala,L,subcortical,1696.0
056,39,L.Accumbens-area,L,subcortical,408.0
056,40,R.Thalamus-Proper,R,subcortical,7224.0
056,41,R.Caudate,R,subcortical,3560.0
056,42,R.Putamen,R,subcortical,5184.0
056,43,R.Pallidum,R,subcortical,2048.0
056,44,R.Hippocampus,R,subcortical,4056.0
056,45,R.Amygdala,R,subcortical,1752.0
056,46,R.Accumbens-area,R,subcortical,488.0
056,47,R.caudalanteriorcingulate,R,cortex,2456.0
056,48,R.caudalmiddlefrontal,R,cortex,4944.0
056,49,R.cuneus,R,cortex,3928.0
056,50,R.entorhinal,R,cortex,1544.0
056,51,R.fusiform,R,cortex,8680.0
056,52,R.inferiorparietal,R,cortex,17256.0
056,53,R.inferiortemporal,R,cortex,11776.0
056,54,R.isthmuscingulate,R,cortex,2072.0
056,55,R.lateraloccipital,R,cortex,11656.0
056,56,R.lateralorbitofrontal,R,cortex,8040.0
056,57,R.lingual,R,cortex,5624.0
056,58,R.medialorbitofrontal,R,cortex,4176.0
056,59,R.middletemporal,R,cortex,14960.0
056,60,R.parahippocampal,R,cortex,1744.0
056,61,R.paracentral,R,cortex,4056.0
056,62,R.parsopercularis,R,cortex,4640.0
056,63,R.parsorbitalis,R,cortex,1888.0
056,64,R.parstriangularis,R,cortex,3368.0
056,65,R.pericalcarine,R,cortex,2192.0
056,66,R.postcentral,R,cortex,10272.0
056,67,R.posteriorcingulate,R,cortex,3632.0
056,68,R.precentral,R,cortex,11432.0
056,69,R.precuneus,R,cortex,11152.0
056,70,R.rostralanteriorcingulate,R,cortex,2704.0
056,71,R.rostralmiddlefrontal,R,cortex,10944.0
056,72,R.superiorfrontal,R,cortex,26968.0
056,73,R.superiorparietal,R,cortex,11784.0
056,74,R.superiortemporal,R,cortex,15896.0
056,75,R.supramarginal,R,cortex,8536.0
056,76,R.transversetemporal,R,cortex,776.0
056,77,R.insula,R,cortex,5608.0
056,78,R.Cerebellum-Cortex,R,cerebellum,55264.0
